Transaction_ID,Date,City,Flavor,Quantity,Price_per_Unit,Total_Amount,Payment_Method
TXN1088,2026-03-22,Karur,Watermelon Chill,3,60,180,Card
TXN1089,2026-02-01,Tenali,Vanilla Delight,3,60,180,UPI
TXN1090,2026-03-27,Mumbai,Strawberry Swirl,1,50,50,Cash
TXN1091,2026-02-01,Karur,Chocolate Crunch,4,30,120,Card
TXN1092,2026-01-18,Ongole,Mango Blast,4,50,200,UPI
TXN1093,2026-03-16,Namakkal,Blueberry Ice,2,40,80,Cash
TXN1094,2026-01-30,Karur,Watermelon Chill,1,30,30,UPI
TXN1095,2026-01-19,Karur,Mango Blast,2,30,60,Card
TXN1096,2026-02-13,Mumbai,Blueberry Ice,5,60,300,Cash
TXN1097,2026-01-19,Ongole,Chocolate Crunch,3,30,90,Card
TXN1098,2026-03-23,Namakkal,Watermelon Chill,4,50,200,Cash
TXN1099,2026-02-03,Namakkal,Strawberry Swirl,1,30,30,Cash
TXN1100,2026-01-13,Bangalore,Chocolate Crunch,3,50,150,UPI
TXN1101,2026-03-19,Karur,Watermelon Chill,1,40,40,Card
TXN1102,2026-03-18,Tenali,Blueberry Ice,2,30,60,Cash
TXN1103,2026-03-23,Namakkal,Vanilla Delight,4,40,160,Card
TXN1104,2026-01-16,Trichy,Chocolate Crunch,4,50,200,UPI
TXN1105,2026-02-19,Ongole,Blueberry Ice,4,60,240,UPI
TXN1106,2026-01-30,Bangalore,Mango Blast,3,30,90,UPI
TXN1107,2026-02-28,Bangalore,Blueberry Ice,1,50,50,Card
TXN1108,2026-03-03,Ongole,Watermelon Chill,1,50,50,UPI
TXN1109,2026-01-29,Ongole,Blueberry Ice,5,60,300,Cash
TXN1110,2026-02-12,Karur,Watermelon Chill,2,30,60,Card
TXN1111,2026-03-20,Bangalore,Strawberry Swirl,3,60,180,Card
TXN1112,2026-02-14,Namakkal,Strawberry Swirl,2,40,80,Card
TXN1113,2026-01-27,Coimbatore,Strawberry Swirl,2,50,100,UPI
TXN1114,2026-02-08,Ongole,Strawberry Swirl,5,30,150,Cash
TXN1115,2026-02-25,Namakkal,Watermelon Chill,4,60,240,Card
TXN1116,2026-01-13,Coimbatore,Mango Blast,1,60,60,Card
TXN1117,2026-02-13,Coimbatore,Mango Blast,5,60,300,Cash
TXN1118,2026-03-14,Coimbatore,Strawberry Swirl,1,40,40,Card
TXN1119,2026-02-26,Mumbai,Chocolate Crunch,1,30,30,Cash
TXN1120,2026-02-27,Coimbatore,Watermelon Chill,1,30,30,Card
TXN1121,2026-03-06,Mumbai,Watermelon Chill,1,40,40,Card
TXN1122,2026-01-11,Ongole,Strawberry Swirl,5,40,200,Cash
TXN1123,2026-01-22,Namakkal,Blueberry Ice,3,30,90,UPI
TXN1124,2026-03-20,Bangalore,Mango Blast,2,50,100,Cash
TXN1125,2026-02-13,Coimbatore,Watermelon Chill,2,50,100,Cash
TXN1126,2026-03-31,Ongole,Watermelon Chill,1,60,60,UPI
TXN1127,2026-03-24,Bangalore,Watermelon Chill,2,60,120,Cash
TXN1128,2026-03-12,Bangalore,Vanilla Delight,5,30,150,Card
TXN1129,2026-03-17,Mumbai,Watermelon Chill,5,60,300,Card
TXN1130,2026-03-11,Karur,Vanilla Delight,4,50,200,UPI
TXN1131,2026-02-11,Mumbai,Vanilla Delight,1,60,60,UPI
TXN1132,2026-02-27,Namakkal,Vanilla Delight,4,60,240,Card
TXN1133,2026-02-21,Mumbai,Vanilla Delight,4,50,200,UPI
TXN1134,2026-03-28,Mumbai,Blueberry Ice,4,30,120,Cash
TXN1135,2026-01-01,Namakkal,Chocolate Crunch,2,50,100,Card
TXN1136,2026-01-31,Tenali,Mango Blast,5,60,300,UPI
TXN1137,2026-02-19,Trichy,Mango Blast,5,40,200,Cash
TXN1138,2026-03-04,Ongole,Vanilla Delight,5,30,150,Card
TXN1139,2026-01-21,Tenali,Blueberry Ice,3,50,150,Cash
TXN1140,2026-01-18,Namakkal,Watermelon Chill,2,40,80,Cash
TXN1141,2026-01-07,Ongole,Strawberry Swirl,1,30,30,UPI
TXN1142,2026-03-03,Namakkal,Mango Blast,4,60,240,UPI
TXN1143,2026-01-05,Tenali,Watermelon Chill,3,40,120,UPI
TXN1144,2026-03-18,Coimbatore,Mango Blast,3,30,90,Cash
TXN1145,2026-01-29,Namakkal,Mango Blast,5,30,150,UPI
TXN1146,2026-03-10,Coimbatore,Chocolate Crunch,4,50,200,UPI
TXN1147,2026-03-27,Mumbai,Strawberry Swirl,5,50,250,Cash
TXN1148,2026-02-23,Ongole,Vanilla Delight,4,40,160,UPI
TXN1149,2026-01-01,Tenali,Mango Blast,3,30,90,UPI
TXN1150,2026-02-18,Ongole,Strawberry Swirl,4,30,120,UPI
TXN1151,2026-03-25,Karur,Blueberry Ice,1,50,50,Card
TXN1152,2026-01-06,Karur,Strawberry Swirl,1,30,30,Card
TXN1153,2026-03-02,Trichy,Blueberry Ice,5,40,200,Card
TXN1154,2026-03-07,Namakkal,Vanilla Delight,1,40,40,UPI
TXN1155,2026-03-31,Bangalore,Mango Blast,4,40,160,Cash
TXN1156,2026-02-27,Bangalore,Vanilla Delight,5,40,200,Cash
TXN1157,2026-01-19,Bangalore,Mango Blast,3,30,90,Card
TXN1158,2026-01-10,Ongole,Watermelon Chill,4,30,120,Card
TXN1159,2026-02-16,Ongole,Watermelon Chill,3,60,180,Card
TXN1160,2026-02-06,Tenali,Mango Blast,1,30,30,Cash
TXN1161,2026-02-17,Coimbatore,Chocolate Crunch,2,40,80,Card
TXN1162,2026-01-19,Mumbai,Chocolate Crunch,3,30,90,Card
TXN1163,2026-01-03,Namakkal,Chocolate Crunch,3,30,90,UPI
TXN1164,2026-02-14,Karur,Mango Blast,5,30,150,Card
TXN1165,2026-01-26,Trichy,Watermelon Chill,2,30,60,UPI
TXN1166,2026-03-06,Bangalore,Vanilla Delight,1,60,60,UPI
TXN1167,2026-02-12,Bangalore,Watermelon Chill,2,50,100,Cash
TXN1168,2026-03-17,Coimbatore,Vanilla Delight,2,40,80,Cash
TXN1169,2026-01-27,Trichy,Vanilla Delight,5,40,200,Card
TXN1170,2026-03-28,Coimbatore,Vanilla Delight,1,50,50,UPI
TXN1171,2026-03-19,Tenali,Mango Blast,2,30,60,UPI
TXN1172,2026-03-21,Tenali,Mango Blast,2,50,100,Card
TXN1173,2026-01-09,Namakkal,Mango Blast,3,30,90,Card
TXN1174,2026-03-02,Coimbatore,Mango Blast,4,60,240,Cash
TXN1175,2026-03-07,Trichy,Mango Blast,4,60,240,Card
TXN1176,2026-01-07,Bangalore,Strawberry Swirl,2,30,60,Cash
TXN1177,2026-03-21,Tenali,Strawberry Swirl,4,30,120,UPI
TXN1178,2026-02-10,Ongole,Blueberry Ice,4,40,160,Card
TXN1179,2026-01-02,Ongole,Strawberry Swirl,5,30,150,Cash
TXN1180,2026-01-06,Bangalore,Mango Blast,2,50,100,Cash
TXN1181,2026-03-29,Namakkal,Vanilla Delight,4,60,240,Cash
TXN1182,2026-01-20,Namakkal,Chocolate Crunch,2,60,120,UPI
TXN1183,2026-03-12,Bangalore,Chocolate Crunch,1,30,30,UPI
TXN1184,2026-02-22,Mumbai,Watermelon Chill,4,60,240,UPI
TXN1185,2026-01-02,Bangalore,Watermelon Chill,5,40,200,Cash
TXN1186,2026-02-23,Tenali,Mango Blast,4,50,200,Card
TXN1187,2026-02-09,Bangalore,Strawberry Swirl,5,40,200,Card
TXN1188,2026-03-17,Bangalore,Chocolate Crunch,5,50,250,Cash
TXN1189,2026-02-26,Mumbai,Blueberry Ice,5,30,150,Card
TXN1190,2026-02-16,Ongole,Mango Blast,1,40,40,Card
TXN1191,2026-01-11,Mumbai,Blueberry Ice,5,30,150,UPI
TXN1192,2026-01-30,Coimbatore,Watermelon Chill,5,40,200,UPI
TXN1193,2026-03-08,Coimbatore,Chocolate Crunch,2,50,100,Cash
TXN1194,2026-03-01,Namakkal,Chocolate Crunch,2,30,60,Card
TXN1195,2026-03-12,Coimbatore,Mango Blast,4,40,160,Card
TXN1196,2026-03-04,Coimbatore,Mango Blast,1,30,30,Card
TXN1197,2026-03-20,Bangalore,Vanilla Delight,2,50,100,Cash
TXN1198,2026-03-03,Trichy,Vanilla Delight,3,40,120,UPI
TXN1199,2026-03-14,Tenali,Vanilla Delight,3,60,180,UPI
TXN1200,2026-02-05,Ongole,Vanilla Delight,5,60,300,UPI
TXN1201,2026-03-09,Tenali,Strawberry Swirl,5,40,200,Cash
TXN1202,2026-02-22,Coimbatore,Blueberry Ice,5,30,150,Card
TXN1203,2026-02-28,Bangalore,Mango Blast,3,30,90,UPI
TXN1204,2026-01-31,Namakkal,Blueberry Ice,2,50,100,Card
TXN1205,2026-03-05,Ongole,Chocolate Crunch,3,40,120,Card
TXN1206,2026-03-18,Trichy,Chocolate Crunch,4,40,160,Cash
TXN1207,2026-02-04,Tenali,Vanilla Delight,2,60,120,Card
TXN1208,2026-01-20,Trichy,Blueberry Ice,4,40,160,UPI
TXN1209,2026-01-04,Namakkal,Mango Blast,3,40,120,Cash
TXN1210,2026-02-15,Ongole,Watermelon Chill,3,40,120,UPI
TXN1211,2026-02-26,Bangalore,Chocolate Crunch,3,60,180,UPI
TXN1212,2026-01-02,Tenali,Strawberry Swirl,5,60,300,Cash
TXN1213,2026-02-10,Trichy,Blueberry Ice,3,60,180,Card
TXN1214,2026-03-14,Mumbai,Blueberry Ice,4,50,200,Cash
TXN1215,2026-01-30,Coimbatore,Mango Blast,4,30,120,Card
TXN1216,2026-01-08,Tenali,Mango Blast,4,60,240,UPI
TXN1217,2026-02-03,Ongole,Chocolate Crunch,4,60,240,Card
TXN1218,2026-01-03,Ongole,Blueberry Ice,2,60,120,Cash
TXN1219,2026-03-26,Tenali,Chocolate Crunch,5,60,300,Cash
TXN1220,2026-02-07,Mumbai,Blueberry Ice,3,50,150,Card
TXN1221,2026-02-27,Karur,Mango Blast,5,60,300,Card
TXN1222,2026-03-11,Namakkal,Mango Blast,3,50,150,Card
TXN1223,2026-03-20,Namakkal,Strawberry Swirl,5,50,250,Card
TXN1224,2026-03-19,Namakkal,Mango Blast,3,60,180,Cash
TXN1225,2026-01-13,Trichy,Watermelon Chill,3,40,120,Card
TXN1226,2026-03-11,Namakkal,Mango Blast,2,60,120,Card
TXN1227,2026-01-13,Coimbatore,Vanilla Delight,2,30,60,Cash
TXN1228,2026-01-14,Bangalore,Blueberry Ice,4,40,160,UPI
TXN1229,2026-02-23,Coimbatore,Strawberry Swirl,1,50,50,UPI
TXN1230,2026-02-11,Namakkal,Vanilla Delight,1,50,50,UPI
TXN1231,2026-01-11,Trichy,Vanilla Delight,3,60,180,UPI
TXN1232,2026-02-28,Ongole,Vanilla Delight,2,30,60,UPI
TXN1233,2026-02-16,Coimbatore,Chocolate Crunch,5,60,300,Card
TXN1234,2026-02-20,Trichy,Vanilla Delight,1,40,40,Cash
TXN1235,2026-03-09,Karur,Strawberry Swirl,3,30,90,Cash
TXN1236,2026-03-01,Karur,Blueberry Ice,1,60,60,Cash
TXN1237,2026-01-01,Karur,Mango Blast,1,30,30,Card
TXN1238,2026-02-23,Namakkal,Chocolate Crunch,1,40,40,Cash
TXN1239,2026-01-12,Bangalore,Blueberry Ice,1,40,40,UPI
TXN1240,2026-03-27,Mumbai,Strawberry Swirl,2,40,80,Card
TXN1241,2026-01-09,Namakkal,Strawberry Swirl,1,40,40,UPI
TXN1242,2026-03-19,Bangalore,Blueberry Ice,1,50,50,Card
TXN1243,2026-02-26,Ongole,Strawberry Swirl,3,60,180,UPI
TXN1244,2026-01-16,Bangalore,Blueberry Ice,5,30,150,Cash
TXN1245,2026-02-28,Karur,Blueberry Ice,2,30,60,Cash
TXN1246,2026-04-01,Tenali,Chocolate Crunch,3,40,120,Card
TXN1247,2026-03-14,Coimbatore,Mango Blast,4,40,160,Card
TXN1248,2026-02-13,Coimbatore,Chocolate Crunch,3,50,150,Card
TXN1249,2026-02-19,Ongole,Watermelon Chill,5,50,250,Card
TXN1250,2026-02-16,Karur,Watermelon Chill,3,40,120,UPI
TXN1251,2026-03-03,Mumbai,Chocolate Crunch,1,30,30,Cash
TXN1252,2026-01-06,Tenali,Mango Blast,2,50,100,Cash
TXN1253,2026-03-12,Namakkal,Blueberry Ice,4,30,120,UPI
TXN1254,2026-03-25,Coimbatore,Mango Blast,3,50,150,Card
TXN1255,2026-03-27,Karur,Chocolate Crunch,3,60,180,Cash
TXN1256,2026-03-08,Bangalore,Watermelon Chill,2,40,80,Card
TXN1257,2026-02-24,Ongole,Strawberry Swirl,4,30,120,Cash
TXN1258,2026-01-01,Karur,Blueberry Ice,2,30,60,UPI
TXN1259,2026-01-14,Trichy,Watermelon Chill,1,50,50,UPI
TXN1260,2026-02-15,Namakkal,Vanilla Delight,3,30,90,Cash
TXN1261,2026-02-06,Bangalore,Blueberry Ice,1,60,60,Cash
TXN1262,2026-03-06,Bangalore,Mango Blast,4,40,160,Cash
TXN1263,2026-03-11,Tenali,Vanilla Delight,3,30,90,Cash
TXN1264,2026-02-23,Coimbatore,Blueberry Ice,2,50,100,UPI
TXN1265,2026-02-08,Tenali,Strawberry Swirl,2,30,60,UPI
TXN1266,2026-03-14,Karur,Strawberry Swirl,1,40,40,Cash
TXN1267,2026-03-25,Namakkal,Blueberry Ice,1,60,60,Card
TXN1268,2026-02-13,Namakkal,Chocolate Crunch,2,40,80,Card
TXN1269,2026-01-11,Karur,Chocolate Crunch,4,30,120,Card
TXN1270,2026-03-18,Ongole,Chocolate Crunch,3,40,120,Card
TXN1271,2026-01-23,Bangalore,Mango Blast,5,40,200,UPI
TXN1272,2026-03-29,Mumbai,Watermelon Chill,5,60,300,UPI
TXN1273,2026-01-18,Trichy,Watermelon Chill,5,30,150,UPI
TXN1274,2026-03-28,Trichy,Watermelon Chill,4,50,200,UPI
TXN1275,2026-01-11,Karur,Watermelon Chill,4,50,200,Cash
TXN1276,2026-03-01,Namakkal,Vanilla Delight,4,40,160,Cash
TXN1277,2026-02-06,Namakkal,Vanilla Delight,3,30,90,Card
TXN1278,2026-01-22,Tenali,Watermelon Chill,2,40,80,Card
TXN1279,2026-01-15,Tenali,Blueberry Ice,3,50,150,Card
TXN1280,2026-03-08,Mumbai,Mango Blast,5,60,300,Cash
TXN1281,2026-01-12,Coimbatore,Vanilla Delight,5,40,200,Card
TXN1282,2026-01-30,Mumbai,Vanilla Delight,5,40,200,Cash
TXN1283,2026-01-22,Trichy,Mango Blast,4,30,120,Cash
TXN1284,2026-02-16,Karur,Watermelon Chill,5,30,150,Cash
TXN1285,2026-03-01,Bangalore,Strawberry Swirl,3,40,120,Card
TXN1286,2026-02-18,Trichy,Mango Blast,1,60,60,Card
TXN1287,2026-02-14,Karur,Blueberry Ice,3,60,180,Cash
TXN1288,2026-03-28,Coimbatore,Strawberry Swirl,3,40,120,Card
TXN1289,2026-03-28,Karur,Blueberry Ice,5,30,150,Cash
TXN1290,2026-03-25,Bangalore,Mango Blast,5,50,250,UPI
TXN1291,2026-01-06,Tenali,Strawberry Swirl,1,40,40,Cash
TXN1292,2026-01-23,Mumbai,Watermelon Chill,5,30,150,UPI
TXN1293,2026-01-09,Ongole,Mango Blast,2,40,80,Cash
TXN1294,2026-03-31,Mumbai,Chocolate Crunch,2,40,80,Card
TXN1295,2026-01-26,Trichy,Vanilla Delight,1,40,40,UPI
TXN1296,2026-03-04,Karur,Watermelon Chill,4,50,200,Cash
TXN1297,2026-02-10,Ongole,Blueberry Ice,4,40,160,UPI
TXN1298,2026-01-03,Namakkal,Blueberry Ice,5,60,300,Card
TXN1299,2026-03-22,Trichy,Strawberry Swirl,2,40,80,UPI
TXN1300,2026-03-27,Karur,Watermelon Chill,4,40,160,UPI
TXN1301,2026-03-09,Coimbatore,Chocolate Crunch,3,40,120,UPI
TXN1302,2026-03-08,Tenali,Blueberry Ice,1,50,50,Cash
TXN1303,2026-03-23,Mumbai,Strawberry Swirl,4,30,120,Card
TXN1304,2026-02-04,Namakkal,Blueberry Ice,2,60,120,UPI
TXN1305,2026-02-01,Ongole,Watermelon Chill,2,40,80,Cash
TXN1306,2026-01-15,Bangalore,Watermelon Chill,3,60,180,UPI
TXN1307,2026-01-09,Trichy,Strawberry Swirl,1,30,30,UPI
TXN1308,2026-01-08,Karur,Mango Blast,1,30,30,Card
TXN1309,2026-02-25,Tenali,Vanilla Delight,4,60,240,Cash
TXN1310,2026-01-17,Ongole,Strawberry Swirl,1,30,30,Card
TXN1311,2026-02-28,Trichy,Blueberry Ice,2,30,60,UPI
TXN1312,2026-03-31,Karur,Strawberry Swirl,4,60,240,UPI
TXN1313,2026-03-08,Bangalore,Chocolate Crunch,5,40,200,Cash
TXN1314,2026-03-20,Bangalore,Chocolate Crunch,5,60,300,UPI
TXN1315,2026-01-23,Namakkal,Vanilla Delight,3,30,90,UPI
TXN1316,2026-01-10,Mumbai,Mango Blast,3,60,180,Cash
TXN1317,2026-01-19,Mumbai,Mango Blast,3,60,180,Cash
TXN1318,2026-02-10,Mumbai,Strawberry Swirl,1,40,40,UPI
TXN1319,2026-03-23,Karur,Chocolate Crunch,1,60,60,UPI
TXN1320,2026-02-13,Trichy,Vanilla Delight,3,30,90,Cash
TXN1321,2026-01-10,Bangalore,Mango Blast,2,30,60,UPI
TXN1322,2026-03-12,Mumbai,Mango Blast,4,60,240,UPI
TXN1323,2026-03-01,Trichy,Mango Blast,3,30,90,UPI
TXN1324,2026-01-18,Ongole,Watermelon Chill,1,40,40,Cash
TXN1325,2026-03-17,Karur,Watermelon Chill,3,40,120,Card
TXN1326,2026-02-08,Tenali,Mango Blast,3,60,180,Cash
TXN1327,2026-01-22,Tenali,Watermelon Chill,5,40,200,Cash
TXN1328,2026-01-04,Bangalore,Strawberry Swirl,3,50,150,UPI
TXN1329,2026-02-24,Ongole,Mango Blast,2,40,80,Card
TXN1330,2026-03-17,Tenali,Chocolate Crunch,2,40,80,Card
TXN1331,2026-01-05,Tenali,Strawberry Swirl,5,30,150,Cash
TXN1332,2026-03-14,Trichy,Vanilla Delight,5,50,250,Card
TXN1333,2026-01-24,Bangalore,Watermelon Chill,3,60,180,UPI
TXN1334,2026-01-17,Namakkal,Strawberry Swirl,4,30,120,Cash
TXN1335,2026-02-10,Trichy,Vanilla Delight,4,30,120,Cash
TXN1336,2026-01-07,Trichy,Chocolate Crunch,1,40,40,UPI
TXN1337,2026-01-11,Bangalore,Strawberry Swirl,5,40,200,Cash
TXN1338,2026-02-23,Bangalore,Strawberry Swirl,1,30,30,UPI
TXN1339,2026-02-25,Namakkal,Watermelon Chill,3,40,120,UPI
TXN1340,2026-01-14,Mumbai,Strawberry Swirl,1,50,50,Cash
TXN1341,2026-03-18,Mumbai,Mango Blast,3,40,120,UPI
TXN1342,2026-01-10,Karur,Vanilla Delight,2,50,100,UPI
TXN1343,2026-02-06,Mumbai,Strawberry Swirl,1,30,30,Card
TXN1344,2026-01-08,Coimbatore,Watermelon Chill,3,50,150,Cash
TXN1345,2026-01-13,Mumbai,Watermelon Chill,5,40,200,UPI
TXN1346,2026-01-11,Tenali,Chocolate Crunch,2,60,120,UPI
TXN1347,2026-03-02,Bangalore,Strawberry Swirl,4,40,160,Card
TXN1348,2026-03-08,Mumbai,Chocolate Crunch,1,60,60,UPI
TXN1349,2026-01-18,Bangalore,Strawberry Swirl,5,30,150,Card
TXN1350,2026-01-18,Coimbatore,Watermelon Chill,5,30,150,Card
TXN1351,2026-01-12,Tenali,Mango Blast,1,40,40,Cash
TXN1352,2026-01-03,Namakkal,Watermelon Chill,1,60,60,Card
TXN1353,2026-01-22,Coimbatore,Strawberry Swirl,5,50,250,Card
TXN1354,2026-03-23,Tenali,Strawberry Swirl,5,60,300,Card
TXN1355,2026-01-09,Karur,Blueberry Ice,4,60,240,Card
TXN1356,2026-01-21,Karur,Vanilla Delight,4,60,240,UPI
TXN1357,2026-03-17,Coimbatore,Strawberry Swirl,4,30,120,UPI
TXN1358,2026-02-25,Namakkal,Chocolate Crunch,4,30,120,UPI
TXN1359,2026-01-25,Namakkal,Blueberry Ice,1,60,60,Card
TXN1360,2026-02-19,Ongole,Mango Blast,2,30,60,UPI
TXN1361,2026-03-17,Ongole,Mango Blast,3,60,180,UPI
TXN1362,2026-01-12,Mumbai,Chocolate Crunch,1,60,60,Card
TXN1363,2026-02-23,Bangalore,Strawberry Swirl,5,40,200,UPI
TXN1364,2026-02-09,Trichy,Vanilla Delight,2,50,100,Card
TXN1365,2026-01-03,Karur,Strawberry Swirl,4,50,200,Cash
TXN1366,2026-01-22,Tenali,Blueberry Ice,1,40,40,UPI
TXN1367,2026-02-06,Tenali,Chocolate Crunch,2,40,80,Cash
TXN1368,2026-01-31,Ongole,Mango Blast,2,30,60,Card
TXN1369,2026-02-17,Trichy,Watermelon Chill,4,50,200,Card
TXN1370,2026-02-22,Trichy,Blueberry Ice,2,30,60,Card
TXN1371,2026-01-06,Ongole,Strawberry Swirl,5,60,300,Cash
TXN1372,2026-01-06,Namakkal,Mango Blast,5,50,250,Card
TXN1373,2026-02-07,Namakkal,Mango Blast,5,30,150,Card
TXN1374,2026-03-02,Tenali,Vanilla Delight,2,30,60,Cash
