Transaction_ID,Date,Location,Flavor,Quantity,Selling_Price,Cost_Price,Revenue,Total_Cost,Profit
TXN2080,2026-01-22,Bangalore,Blueberry Ice,30,30,15,900,450,450
TXN2081,2026-02-10,Ongole,Chocolate Crunch,54,50,35,2700,1890,810
TXN2082,2026-01-23,Tenali,Chocolate Crunch,100,50,40,5000,4000,1000
TXN2083,2026-01-23,Mumbai,Chocolate Crunch,93,60,45,5580,4185,1395
TXN2084,2026-01-05,Bangalore,Strawberry Swirl,75,50,40,3750,3000,750
TXN2085,2026-01-29,Ongole,Blueberry Ice,19,40,30,760,570,190
TXN2086,2026-02-20,Tenali,Strawberry Swirl,24,50,35,1200,840,360
TXN2087,2026-02-25,Mumbai,Watermelon Chill,62,30,20,1860,1240,620
TXN2088,2026-03-05,Trichy,Blueberry Ice,33,40,20,1320,660,660
TXN2089,2026-01-01,Trichy,Blueberry Ice,20,50,30,1000,600,400
TXN2090,2026-03-31,Tenali,Vanilla Delight,52,60,45,3120,2340,780
TXN2091,2026-01-15,Mumbai,Mango Blast,37,50,35,1850,1295,555
TXN2092,2026-03-24,Ongole,Chocolate Crunch,67,40,20,2680,1340,1340
TXN2093,2026-02-21,Ongole,Watermelon Chill,25,30,10,750,250,500
TXN2094,2026-01-31,Coimbatore,Vanilla Delight,84,60,45,5040,3780,1260
TXN2095,2026-02-13,Trichy,Strawberry Swirl,58,50,40,2900,2320,580
TXN2096,2026-02-14,Mumbai,Chocolate Crunch,19,30,10,570,190,380
TXN2097,2026-02-16,Tenali,Watermelon Chill,74,50,35,3700,2590,1110
TXN2098,2026-01-06,Tenali,Watermelon Chill,27,30,20,810,540,270
TXN2099,2026-01-09,Namakkal,Chocolate Crunch,21,60,45,1260,945,315
TXN2100,2026-01-17,Bangalore,Blueberry Ice,16,40,20,640,320,320
TXN2101,2026-01-26,Ongole,Mango Blast,66,30,20,1980,1320,660
TXN2102,2026-02-22,Trichy,Mango Blast,96,40,20,3840,1920,1920
TXN2103,2026-02-16,Tenali,Chocolate Crunch,65,40,20,2600,1300,1300
TXN2104,2026-02-03,Namakkal,Mango Blast,83,60,45,4980,3735,1245
TXN2105,2026-01-12,Ongole,Mango Blast,98,40,25,3920,2450,1470
TXN2106,2026-03-26,Trichy,Vanilla Delight,28,60,50,1680,1400,280
TXN2107,2026-02-17,Namakkal,Watermelon Chill,94,50,30,4700,2820,1880
TXN2108,2026-01-09,Ongole,Strawberry Swirl,99,50,30,4950,2970,1980
TXN2109,2026-01-14,Mumbai,Strawberry Swirl,90,50,30,4500,2700,1800
TXN2110,2026-01-17,Tenali,Vanilla Delight,18,30,20,540,360,180
TXN2111,2026-03-21,Mumbai,Strawberry Swirl,42,60,45,2520,1890,630
TXN2112,2026-02-09,Karur,Blueberry Ice,70,60,50,4200,3500,700
TXN2113,2026-03-10,Bangalore,Blueberry Ice,79,50,30,3950,2370,1580
TXN2114,2026-02-01,Ongole,Chocolate Crunch,22,40,20,880,440,440
TXN2115,2026-03-02,Mumbai,Chocolate Crunch,28,50,40,1400,1120,280
TXN2116,2026-01-07,Trichy,Mango Blast,17,60,40,1020,680,340
TXN2117,2026-02-10,Trichy,Vanilla Delight,35,60,40,2100,1400,700
TXN2118,2026-01-19,Tenali,Blueberry Ice,52,40,20,2080,1040,1040
TXN2119,2026-03-14,Trichy,Vanilla Delight,50,30,10,1500,500,1000
TXN2120,2026-01-02,Mumbai,Chocolate Crunch,77,50,35,3850,2695,1155
TXN2121,2026-02-09,Mumbai,Chocolate Crunch,71,50,40,3550,2840,710
TXN2122,2026-01-20,Karur,Watermelon Chill,53,60,40,3180,2120,1060
TXN2123,2026-01-02,Bangalore,Chocolate Crunch,26,30,10,780,260,520
TXN2124,2026-02-07,Namakkal,Vanilla Delight,35,50,40,1750,1400,350
TXN2125,2026-03-20,Namakkal,Blueberry Ice,93,40,30,3720,2790,930
TXN2126,2026-03-23,Trichy,Strawberry Swirl,34,50,35,1700,1190,510
TXN2127,2026-01-23,Tenali,Mango Blast,95,30,10,2850,950,1900
TXN2128,2026-01-27,Mumbai,Mango Blast,16,30,20,480,320,160
TXN2129,2026-03-11,Namakkal,Strawberry Swirl,69,30,20,2070,1380,690
TXN2130,2026-02-05,Namakkal,Vanilla Delight,76,60,40,4560,3040,1520
TXN2131,2026-02-07,Namakkal,Mango Blast,33,50,30,1650,990,660
TXN2132,2026-01-10,Mumbai,Mango Blast,78,50,35,3900,2730,1170
TXN2133,2026-01-09,Karur,Chocolate Crunch,40,60,40,2400,1600,800
TXN2134,2026-04-01,Tenali,Chocolate Crunch,86,60,40,5160,3440,1720
TXN2135,2026-03-03,Bangalore,Watermelon Chill,56,40,30,2240,1680,560
TXN2136,2026-02-10,Tenali,Blueberry Ice,11,30,20,330,220,110
TXN2137,2026-01-12,Karur,Strawberry Swirl,52,50,30,2600,1560,1040
TXN2138,2026-02-27,Trichy,Blueberry Ice,70,30,15,2100,1050,1050
TXN2139,2026-03-07,Bangalore,Vanilla Delight,38,50,40,1900,1520,380
TXN2140,2026-03-03,Trichy,Watermelon Chill,96,40,20,3840,1920,1920
TXN2141,2026-02-22,Mumbai,Mango Blast,31,60,45,1860,1395,465
TXN2142,2026-01-27,Karur,Watermelon Chill,54,40,25,2160,1350,810
TXN2143,2026-03-03,Coimbatore,Chocolate Crunch,27,30,15,810,405,405
TXN2144,2026-01-01,Tenali,Vanilla Delight,99,50,35,4950,3465,1485
TXN2145,2026-01-26,Ongole,Chocolate Crunch,83,40,25,3320,2075,1245
TXN2146,2026-01-04,Coimbatore,Chocolate Crunch,49,50,30,2450,1470,980
TXN2147,2026-02-21,Bangalore,Strawberry Swirl,25,30,10,750,250,500
TXN2148,2026-02-25,Tenali,Watermelon Chill,45,60,40,2700,1800,900
TXN2149,2026-01-28,Bangalore,Strawberry Swirl,72,50,30,3600,2160,1440
TXN2150,2026-01-22,Coimbatore,Mango Blast,82,60,45,4920,3690,1230
TXN2151,2026-01-14,Ongole,Watermelon Chill,35,50,35,1750,1225,525
TXN2152,2026-01-29,Mumbai,Watermelon Chill,85,30,10,2550,850,1700
TXN2153,2026-01-21,Ongole,Vanilla Delight,74,30,20,2220,1480,740
TXN2154,2026-03-17,Mumbai,Strawberry Swirl,19,40,25,760,475,285
TXN2155,2026-03-09,Mumbai,Strawberry Swirl,52,40,25,2080,1300,780
TXN2156,2026-03-09,Bangalore,Mango Blast,55,60,45,3300,2475,825
TXN2157,2026-03-04,Tenali,Vanilla Delight,58,30,10,1740,580,1160
TXN2158,2026-02-27,Ongole,Mango Blast,12,60,40,720,480,240
TXN2159,2026-03-19,Ongole,Chocolate Crunch,73,40,30,2920,2190,730
TXN2160,2026-03-23,Namakkal,Strawberry Swirl,56,60,50,3360,2800,560
TXN2161,2026-03-21,Ongole,Chocolate Crunch,11,50,40,550,440,110
TXN2162,2026-02-12,Coimbatore,Mango Blast,49,50,30,2450,1470,980
TXN2163,2026-03-02,Mumbai,Blueberry Ice,76,40,30,3040,2280,760
TXN2164,2026-03-06,Coimbatore,Mango Blast,15,60,45,900,675,225
TXN2165,2026-03-03,Coimbatore,Strawberry Swirl,75,30,10,2250,750,1500
TXN2166,2026-04-01,Ongole,Blueberry Ice,70,30,15,2100,1050,1050
TXN2167,2026-01-23,Namakkal,Strawberry Swirl,58,60,40,3480,2320,1160
TXN2168,2026-03-10,Tenali,Blueberry Ice,11,60,45,660,495,165
TXN2169,2026-03-24,Namakkal,Strawberry Swirl,99,50,40,4950,3960,990
TXN2170,2026-03-30,Coimbatore,Blueberry Ice,95,30,20,2850,1900,950
TXN2171,2026-04-01,Namakkal,Watermelon Chill,43,30,20,1290,860,430
TXN2172,2026-03-06,Tenali,Watermelon Chill,60,30,10,1800,600,1200
TXN2173,2026-03-25,Namakkal,Watermelon Chill,41,60,45,2460,1845,615
TXN2174,2026-02-25,Bangalore,Mango Blast,51,60,40,3060,2040,1020
TXN2175,2026-02-02,Trichy,Strawberry Swirl,74,30,10,2220,740,1480
TXN2176,2026-02-11,Tenali,Vanilla Delight,64,50,40,3200,2560,640
TXN2177,2026-02-17,Bangalore,Mango Blast,11,50,40,550,440,110
TXN2178,2026-02-26,Mumbai,Blueberry Ice,87,30,15,2610,1305,1305
TXN2179,2026-03-22,Coimbatore,Watermelon Chill,14,40,30,560,420,140
TXN2180,2026-03-20,Ongole,Mango Blast,19,30,15,570,285,285
TXN2181,2026-02-08,Trichy,Vanilla Delight,44,60,45,2640,1980,660
TXN2182,2026-02-10,Bangalore,Mango Blast,59,60,50,3540,2950,590
TXN2183,2026-03-24,Trichy,Strawberry Swirl,81,60,50,4860,4050,810
TXN2184,2026-03-11,Karur,Watermelon Chill,49,40,30,1960,1470,490
TXN2185,2026-01-12,Ongole,Chocolate Crunch,10,50,35,500,350,150
TXN2186,2026-02-26,Trichy,Watermelon Chill,32,50,40,1600,1280,320
TXN2187,2026-01-28,Bangalore,Chocolate Crunch,38,30,20,1140,760,380
TXN2188,2026-02-12,Karur,Mango Blast,55,50,35,2750,1925,825
TXN2189,2026-02-26,Namakkal,Chocolate Crunch,89,50,35,4450,3115,1335
TXN2190,2026-01-01,Mumbai,Chocolate Crunch,83,30,15,2490,1245,1245
TXN2191,2026-01-16,Mumbai,Blueberry Ice,56,30,10,1680,560,1120
TXN2192,2026-01-07,Mumbai,Strawberry Swirl,70,40,25,2800,1750,1050
TXN2193,2026-02-19,Trichy,Vanilla Delight,100,40,20,4000,2000,2000
TXN2194,2026-02-23,Bangalore,Watermelon Chill,86,30,10,2580,860,1720
TXN2195,2026-01-09,Namakkal,Blueberry Ice,88,40,20,3520,1760,1760
TXN2196,2026-03-09,Coimbatore,Watermelon Chill,86,60,50,5160,4300,860
TXN2197,2026-01-21,Namakkal,Watermelon Chill,82,60,45,4920,3690,1230
TXN2198,2026-01-16,Bangalore,Chocolate Crunch,26,40,20,1040,520,520
TXN2199,2026-01-06,Bangalore,Blueberry Ice,87,60,45,5220,3915,1305
TXN2200,2026-01-07,Tenali,Watermelon Chill,55,60,40,3300,2200,1100
TXN2201,2026-03-08,Bangalore,Watermelon Chill,23,60,45,1380,1035,345
TXN2202,2026-02-08,Mumbai,Watermelon Chill,53,30,15,1590,795,795
TXN2203,2026-02-09,Karur,Chocolate Crunch,85,50,40,4250,3400,850
TXN2204,2026-03-01,Karur,Mango Blast,12,30,20,360,240,120
TXN2205,2026-02-09,Namakkal,Watermelon Chill,70,60,40,4200,2800,1400
TXN2206,2026-02-21,Tenali,Blueberry Ice,67,40,25,2680,1675,1005
TXN2207,2026-03-23,Trichy,Strawberry Swirl,37,60,40,2220,1480,740
TXN2208,2026-02-07,Coimbatore,Mango Blast,89,50,30,4450,2670,1780
TXN2209,2026-01-25,Namakkal,Strawberry Swirl,50,30,10,1500,500,1000
TXN2210,2026-01-17,Mumbai,Mango Blast,68,60,40,4080,2720,1360
TXN2211,2026-03-23,Namakkal,Blueberry Ice,89,30,10,2670,890,1780
TXN2212,2026-03-19,Namakkal,Chocolate Crunch,28,30,10,840,280,560
TXN2213,2026-01-12,Karur,Vanilla Delight,54,40,25,2160,1350,810
TXN2214,2026-01-21,Mumbai,Blueberry Ice,57,50,40,2850,2280,570
TXN2215,2026-04-01,Trichy,Strawberry Swirl,90,60,50,5400,4500,900
TXN2216,2026-03-09,Bangalore,Mango Blast,84,40,30,3360,2520,840
TXN2217,2026-02-28,Mumbai,Watermelon Chill,67,40,30,2680,2010,670
TXN2218,2026-01-17,Coimbatore,Strawberry Swirl,68,60,45,4080,3060,1020
TXN2219,2026-01-05,Karur,Vanilla Delight,55,40,20,2200,1100,1100
TXN2220,2026-02-03,Mumbai,Blueberry Ice,21,60,45,1260,945,315
TXN2221,2026-03-15,Karur,Mango Blast,66,40,20,2640,1320,1320
TXN2222,2026-02-25,Bangalore,Watermelon Chill,47,40,25,1880,1175,705
TXN2223,2026-02-11,Ongole,Strawberry Swirl,78,50,40,3900,3120,780
TXN2224,2026-03-12,Ongole,Chocolate Crunch,17,40,25,680,425,255
TXN2225,2026-01-01,Karur,Blueberry Ice,69,30,15,2070,1035,1035
TXN2226,2026-01-13,Trichy,Blueberry Ice,34,60,40,2040,1360,680
TXN2227,2026-02-28,Karur,Blueberry Ice,84,60,50,5040,4200,840
TXN2228,2026-02-21,Ongole,Blueberry Ice,23,40,20,920,460,460
TXN2229,2026-03-14,Coimbatore,Strawberry Swirl,11,60,50,660,550,110
TXN2230,2026-02-18,Karur,Vanilla Delight,47,60,40,2820,1880,940
TXN2231,2026-02-04,Mumbai,Vanilla Delight,16,30,10,480,160,320
TXN2232,2026-03-19,Karur,Strawberry Swirl,47,60,40,2820,1880,940
TXN2233,2026-03-13,Tenali,Vanilla Delight,21,50,40,1050,840,210
TXN2234,2026-02-08,Mumbai,Blueberry Ice,70,40,30,2800,2100,700
TXN2235,2026-03-01,Namakkal,Blueberry Ice,63,50,30,3150,1890,1260
TXN2236,2026-03-27,Trichy,Chocolate Crunch,36,60,40,2160,1440,720
TXN2237,2026-03-13,Namakkal,Mango Blast,24,30,20,720,480,240
TXN2238,2026-03-16,Ongole,Blueberry Ice,16,50,30,800,480,320
TXN2239,2026-01-07,Namakkal,Watermelon Chill,35,30,10,1050,350,700
TXN2240,2026-03-09,Tenali,Blueberry Ice,28,50,40,1400,1120,280
TXN2241,2026-01-17,Namakkal,Chocolate Crunch,95,50,35,4750,3325,1425
TXN2242,2026-03-02,Bangalore,Blueberry Ice,89,50,35,4450,3115,1335
TXN2243,2026-01-21,Karur,Watermelon Chill,81,50,35,4050,2835,1215
TXN2244,2026-01-22,Ongole,Strawberry Swirl,66,50,30,3300,1980,1320
TXN2245,2026-03-21,Ongole,Chocolate Crunch,92,60,45,5520,4140,1380
TXN2246,2026-01-06,Tenali,Strawberry Swirl,22,50,30,1100,660,440
TXN2247,2026-03-14,Namakkal,Strawberry Swirl,39,40,20,1560,780,780
TXN2248,2026-01-02,Tenali,Vanilla Delight,27,40,30,1080,810,270
TXN2249,2026-02-06,Mumbai,Blueberry Ice,88,50,30,4400,2640,1760
TXN2250,2026-03-23,Ongole,Blueberry Ice,78,60,50,4680,3900,780
TXN2251,2026-03-01,Mumbai,Blueberry Ice,91,50,30,4550,2730,1820
TXN2252,2026-03-27,Mumbai,Strawberry Swirl,84,30,15,2520,1260,1260
TXN2253,2026-03-02,Ongole,Strawberry Swirl,23,40,20,920,460,460
TXN2254,2026-01-23,Bangalore,Blueberry Ice,16,30,20,480,320,160
TXN2255,2026-01-20,Namakkal,Watermelon Chill,81,60,45,4860,3645,1215
TXN2256,2026-03-06,Trichy,Vanilla Delight,16,30,15,480,240,240
TXN2257,2026-01-22,Tenali,Chocolate Crunch,36,50,35,1800,1260,540
TXN2258,2026-03-02,Ongole,Blueberry Ice,67,60,40,4020,2680,1340
TXN2259,2026-03-18,Tenali,Chocolate Crunch,42,50,40,2100,1680,420
TXN2260,2026-01-08,Tenali,Strawberry Swirl,37,50,35,1850,1295,555
TXN2261,2026-01-01,Trichy,Mango Blast,82,50,40,4100,3280,820
TXN2262,2026-01-08,Ongole,Mango Blast,13,60,50,780,650,130
TXN2263,2026-03-05,Trichy,Mango Blast,62,30,15,1860,930,930
TXN2264,2026-02-05,Tenali,Chocolate Crunch,68,40,20,2720,1360,1360
TXN2265,2026-01-01,Ongole,Mango Blast,31,40,25,1240,775,465
TXN2266,2026-03-06,Tenali,Chocolate Crunch,98,50,35,4900,3430,1470
TXN2267,2026-01-16,Bangalore,Mango Blast,42,60,45,2520,1890,630
TXN2268,2026-03-27,Coimbatore,Chocolate Crunch,74,60,45,4440,3330,1110
TXN2269,2026-03-25,Namakkal,Blueberry Ice,24,60,45,1440,1080,360
TXN2270,2026-01-30,Mumbai,Mango Blast,91,40,25,3640,2275,1365
TXN2271,2026-03-16,Bangalore,Blueberry Ice,10,40,25,400,250,150
TXN2272,2026-01-18,Coimbatore,Mango Blast,23,40,20,920,460,460
TXN2273,2026-03-25,Trichy,Strawberry Swirl,60,40,30,2400,1800,600
TXN2274,2026-02-24,Mumbai,Vanilla Delight,64,30,15,1920,960,960
TXN2275,2026-01-08,Karur,Blueberry Ice,84,40,25,3360,2100,1260
TXN2276,2026-03-17,Ongole,Strawberry Swirl,80,60,40,4800,3200,1600
TXN2277,2026-03-16,Trichy,Vanilla Delight,35,40,30,1400,1050,350
TXN2278,2026-03-18,Mumbai,Blueberry Ice,55,50,30,2750,1650,1100
TXN2279,2026-03-15,Tenali,Blueberry Ice,97,50,40,4850,3880,970
TXN2280,2026-02-04,Trichy,Mango Blast,71,60,45,4260,3195,1065
TXN2281,2026-03-29,Namakkal,Blueberry Ice,93,30,15,2790,1395,1395
TXN2282,2026-03-09,Coimbatore,Strawberry Swirl,23,60,45,1380,1035,345
TXN2283,2026-01-04,Bangalore,Mango Blast,74,40,30,2960,2220,740
TXN2284,2026-01-01,Namakkal,Strawberry Swirl,46,60,45,2760,2070,690
TXN2285,2026-02-23,Mumbai,Watermelon Chill,50,40,20,2000,1000,1000
TXN2286,2026-01-22,Ongole,Strawberry Swirl,84,50,40,4200,3360,840
TXN2287,2026-03-25,Karur,Blueberry Ice,80,50,30,4000,2400,1600
TXN2288,2026-02-05,Mumbai,Mango Blast,51,30,15,1530,765,765
TXN2289,2026-01-08,Bangalore,Chocolate Crunch,80,50,40,4000,3200,800
TXN2290,2026-02-15,Karur,Strawberry Swirl,54,60,40,3240,2160,1080
TXN2291,2026-01-27,Mumbai,Watermelon Chill,59,50,35,2950,2065,885
TXN2292,2026-02-17,Namakkal,Blueberry Ice,26,60,45,1560,1170,390
TXN2293,2026-01-25,Mumbai,Watermelon Chill,98,60,45,5880,4410,1470
TXN2294,2026-03-04,Karur,Watermelon Chill,66,40,30,2640,1980,660
TXN2295,2026-02-16,Trichy,Watermelon Chill,79,40,20,3160,1580,1580
TXN2296,2026-02-28,Bangalore,Vanilla Delight,59,30,20,1770,1180,590
TXN2297,2026-03-14,Ongole,Blueberry Ice,74,60,50,4440,3700,740
TXN2298,2026-01-09,Ongole,Strawberry Swirl,76,50,40,3800,3040,760
TXN2299,2026-02-28,Coimbatore,Mango Blast,53,30,20,1590,1060,530
TXN2300,2026-02-17,Namakkal,Chocolate Crunch,92,40,25,3680,2300,1380
TXN2301,2026-01-23,Namakkal,Strawberry Swirl,42,60,45,2520,1890,630
TXN2302,2026-03-26,Tenali,Blueberry Ice,13,50,35,650,455,195
TXN2303,2026-03-30,Mumbai,Vanilla Delight,13,50,40,650,520,130
TXN2304,2026-01-23,Tenali,Chocolate Crunch,64,30,15,1920,960,960
TXN2305,2026-01-02,Namakkal,Mango Blast,46,60,45,2760,2070,690
TXN2306,2026-02-14,Mumbai,Chocolate Crunch,38,40,25,1520,950,570
TXN2307,2026-03-05,Namakkal,Blueberry Ice,78,40,30,3120,2340,780
TXN2308,2026-01-12,Coimbatore,Mango Blast,94,60,40,5640,3760,1880
TXN2309,2026-01-05,Tenali,Vanilla Delight,12,30,20,360,240,120
TXN2310,2026-01-02,Tenali,Strawberry Swirl,53,40,30,2120,1590,530
TXN2311,2026-02-19,Namakkal,Chocolate Crunch,71,40,20,2840,1420,1420
TXN2312,2026-01-16,Tenali,Strawberry Swirl,95,50,35,4750,3325,1425
TXN2313,2026-02-18,Mumbai,Strawberry Swirl,43,50,35,2150,1505,645
TXN2314,2026-01-23,Bangalore,Mango Blast,42,50,35,2100,1470,630
TXN2315,2026-01-04,Mumbai,Chocolate Crunch,92,50,30,4600,2760,1840
TXN2316,2026-03-21,Namakkal,Watermelon Chill,30,30,15,900,450,450
TXN2317,2026-03-03,Karur,Blueberry Ice,40,40,25,1600,1000,600
TXN2318,2026-02-01,Tenali,Strawberry Swirl,88,40,20,3520,1760,1760
TXN2319,2026-03-17,Karur,Blueberry Ice,41,30,15,1230,615,615
TXN2320,2026-03-13,Coimbatore,Watermelon Chill,97,50,35,4850,3395,1455
TXN2321,2026-01-18,Coimbatore,Blueberry Ice,56,60,45,3360,2520,840
TXN2322,2026-01-05,Trichy,Watermelon Chill,79,30,15,2370,1185,1185
TXN2323,2026-03-05,Tenali,Watermelon Chill,24,40,20,960,480,480
TXN2324,2026-01-04,Bangalore,Chocolate Crunch,50,40,30,2000,1500,500
TXN2325,2026-02-26,Mumbai,Strawberry Swirl,60,40,25,2400,1500,900
TXN2326,2026-02-22,Karur,Vanilla Delight,87,60,50,5220,4350,870
TXN2327,2026-01-30,Trichy,Vanilla Delight,89,50,35,4450,3115,1335
TXN2328,2026-01-08,Mumbai,Strawberry Swirl,69,30,10,2070,690,1380
TXN2329,2026-02-01,Tenali,Mango Blast,48,40,20,1920,960,960
TXN2330,2026-01-27,Ongole,Mango Blast,56,60,45,3360,2520,840
TXN2331,2026-01-06,Ongole,Mango Blast,14,60,40,840,560,280
TXN2332,2026-03-30,Coimbatore,Mango Blast,36,40,20,1440,720,720
TXN2333,2026-01-07,Mumbai,Chocolate Crunch,80,40,20,3200,1600,1600
TXN2334,2026-02-22,Bangalore,Watermelon Chill,44,60,40,2640,1760,880
