Revenue_ID,Date,City,Total_Orders,Revenue,Expenses,Net_Profit
REV6100,2026-01-28,Bangalore,143,13585,10237,3348
REV6101,2026-01-05,Hyderabad,181,14299,7510,6789
REV6102,2026-01-09,Hyderabad,192,12288,7980,4308
REV6103,2026-01-01,Delhi,42,2604,1543,1061
REV6104,2026-01-10,Pune,146,6862,4567,2295
REV6105,2026-01-21,Bangalore,22,2486,1632,854
REV6106,2026-01-10,Chennai,96,6144,3382,2762
REV6107,2026-01-12,Pune,84,8400,6036,2364
REV6108,2026-01-27,Mumbai,90,4140,2407,1733
REV6109,2026-01-11,Coimbatore,89,6675,4731,1944
REV6110,2026-01-31,Mumbai,124,9548,4844,4704
REV6111,2026-01-31,Bangalore,36,3456,2171,1285
REV6112,2026-01-06,Namakkal,56,3696,2182,1514
REV6113,2026-01-16,Namakkal,78,4992,2816,2176
REV6114,2026-01-28,Namakkal,58,6090,4669,1421
REV6115,2026-01-26,Mumbai,168,9408,5751,3657
REV6116,2026-01-04,Mumbai,119,11662,8256,3406
REV6117,2026-01-18,Bangalore,185,20720,11769,8951
REV6118,2026-01-01,Namakkal,136,11152,5916,5236
REV6119,2026-01-04,Bangalore,30,1650,1271,379
REV6120,2026-01-07,Chennai,154,16170,8644,7526
REV6121,2026-01-28,Delhi,86,6106,3135,2971
REV6122,2026-01-21,Namakkal,101,10504,7295,3209
REV6123,2026-01-27,Hyderabad,50,4850,3788,1062
REV6124,2026-01-18,Chennai,89,7387,5070,2317
REV6125,2026-01-26,Bangalore,66,6138,4600,1538
REV6126,2026-01-19,Bangalore,145,7685,5532,2153
REV6127,2026-01-13,Mumbai,62,5766,4231,1535
REV6128,2026-01-16,Pune,90,9990,7894,2096
REV6129,2026-01-23,Delhi,145,10585,7183,3402
REV6130,2026-01-10,Delhi,147,12201,7067,5134
REV6131,2026-01-14,Pune,190,18430,9559,8871
REV6132,2026-01-13,Chennai,22,1056,645,411
REV6133,2026-01-12,Mumbai,59,2655,1837,818
REV6134,2026-01-31,Mumbai,63,7308,4047,3261
REV6135,2026-01-11,Hyderabad,81,8019,5981,2038
REV6136,2026-01-02,Bangalore,157,9891,7549,2342
REV6137,2026-01-22,Hyderabad,35,2590,1810,780
REV6138,2026-01-14,Hyderabad,96,5760,3293,2467
REV6139,2026-01-18,Coimbatore,149,13112,9685,3427
REV6140,2026-01-18,Bangalore,159,15423,10519,4904
REV6141,2026-01-21,Mumbai,152,16720,9738,6982
REV6142,2026-01-02,Chennai,177,11859,7478,4381
REV6143,2026-01-29,Coimbatore,93,6045,3531,2514
REV6144,2026-01-06,Coimbatore,187,7480,4970,2510
REV6145,2026-01-10,Delhi,191,19482,9943,9539
REV6146,2026-01-04,Coimbatore,51,2958,1632,1326
REV6147,2026-01-18,Pune,30,1860,1135,725
REV6148,2026-01-16,Bangalore,122,10980,5618,5362
REV6149,2026-01-12,Coimbatore,179,10919,6774,4145
REV6150,2026-01-01,Namakkal,155,17980,10963,7017
REV6151,2026-01-16,Namakkal,161,10787,7103,3684
REV6152,2026-01-18,Namakkal,196,10584,6056,4528
REV6153,2026-01-10,Delhi,131,14934,8760,6174
REV6154,2026-01-10,Pune,60,2880,1807,1073
REV6155,2026-01-08,Pune,137,6165,3201,2964
REV6156,2026-01-04,Namakkal,56,5656,4152,1504
REV6157,2026-01-20,Mumbai,163,11247,8747,2500
REV6158,2026-01-10,Bangalore,128,10240,8089,2151
REV6159,2026-01-22,Chennai,129,14835,9175,5660
REV6160,2026-01-24,Delhi,184,10304,7109,3195
REV6161,2026-01-02,Coimbatore,114,10374,6386,3988
REV6162,2026-01-04,Pune,44,2552,1361,1191
REV6163,2026-01-08,Namakkal,75,4725,3150,1575
REV6164,2026-01-11,Pune,21,1617,875,742
REV6165,2026-01-28,Mumbai,146,9782,5959,3823
REV6166,2026-01-29,Namakkal,132,10428,6403,4025
REV6167,2026-01-13,Namakkal,155,10075,6765,3310
REV6168,2026-01-09,Mumbai,149,15347,8966,6381
REV6169,2026-01-12,Delhi,112,4928,3377,1551
REV6170,2026-01-04,Chennai,46,2346,1491,855
REV6171,2026-01-12,Delhi,188,11092,6240,4852
REV6172,2026-01-21,Coimbatore,123,13653,10406,3247
REV6173,2026-01-29,Hyderabad,83,8715,4535,4180
REV6174,2026-01-24,Delhi,176,20064,11850,8214
REV6175,2026-01-20,Chennai,77,3542,2139,1403
REV6176,2026-01-04,Namakkal,167,7515,4791,2724
REV6177,2026-01-25,Pune,65,5915,3589,2326
REV6178,2026-01-22,Bangalore,71,4899,3393,1506
REV6179,2026-01-27,Mumbai,55,5665,3244,2421
REV6180,2026-01-14,Pune,51,4947,3372,1575
REV6181,2026-01-03,Hyderabad,137,13700,7394,6306
REV6182,2026-01-17,Pune,179,21301,11267,10034
REV6183,2026-01-22,Mumbai,73,3577,2836,741
REV6184,2026-01-13,Namakkal,136,15368,10330,5038
REV6185,2026-01-07,Namakkal,179,14499,9473,5026
REV6186,2026-01-05,Mumbai,185,16095,10122,5973
REV6187,2026-01-09,Namakkal,125,5000,3796,1204
REV6188,2026-01-30,Bangalore,169,14027,8175,5852
REV6189,2026-01-14,Bangalore,184,13064,9024,4040
REV6190,2026-01-24,Hyderabad,67,6834,5083,1751
REV6191,2026-01-12,Mumbai,88,5368,3490,1878
REV6192,2026-01-29,Delhi,54,5778,3141,2637
REV6193,2026-01-04,Coimbatore,52,2912,1541,1371
REV6194,2026-01-26,Mumbai,138,11592,6286,5306
REV6195,2026-01-26,Mumbai,94,9494,5197,4297
REV6196,2026-01-09,Chennai,84,6552,3477,3075
REV6197,2026-01-12,Namakkal,102,9078,5761,3317
REV6198,2026-01-04,Pune,170,18700,13232,5468
REV6199,2026-01-19,Coimbatore,37,2146,1443,703
REV6200,2026-01-25,Bangalore,105,7665,4098,3567
REV6201,2026-01-01,Namakkal,28,1120,799,321
REV6202,2026-01-27,Pune,196,11172,8606,2566
REV6203,2026-01-02,Coimbatore,66,7128,4854,2274
REV6204,2026-01-01,Bangalore,131,10480,6707,3773
REV6205,2026-01-07,Pune,82,4756,3150,1606
REV6206,2026-01-05,Pune,136,14008,8303,5705
REV6207,2026-01-14,Namakkal,132,5808,4488,1320
REV6208,2026-01-17,Mumbai,86,6106,3888,2218
REV6209,2026-01-27,Delhi,148,9176,4694,4482
REV6210,2026-01-19,Delhi,88,8096,4726,3370
REV6211,2026-01-27,Namakkal,53,5300,3995,1305
REV6212,2026-01-16,Mumbai,142,11502,7483,4019
REV6213,2026-01-27,Bangalore,76,8132,4901,3231
REV6214,2026-01-16,Bangalore,100,8900,4760,4140
REV6215,2026-01-18,Hyderabad,123,12300,7961,4339
REV6216,2026-01-14,Mumbai,42,1764,1096,668
REV6217,2026-01-25,Bangalore,164,15416,11028,4388
REV6218,2026-01-26,Delhi,81,4050,2835,1215
REV6219,2026-01-21,Delhi,158,15958,10547,5411
REV6220,2026-01-02,Bangalore,42,2772,2070,702
REV6221,2026-01-30,Chennai,23,2484,1613,871
REV6222,2026-01-15,Chennai,74,6956,4541,2415
REV6223,2026-01-16,Bangalore,76,6004,3365,2639
REV6224,2026-01-14,Delhi,81,4050,3190,860
REV6225,2026-01-16,Bangalore,145,13775,8489,5286
REV6226,2026-01-27,Delhi,123,12300,9350,2950
REV6227,2026-01-16,Delhi,111,5994,4064,1930
REV6228,2026-01-24,Pune,140,13020,8790,4230
REV6229,2026-01-24,Mumbai,189,18144,10386,7758
REV6230,2026-01-31,Delhi,83,8466,5759,2707
REV6231,2026-01-25,Delhi,94,4982,3517,1465
REV6232,2026-01-28,Coimbatore,90,6660,3741,2919
REV6233,2026-01-06,Chennai,94,6392,4318,2074
REV6234,2026-01-29,Hyderabad,172,12728,9012,3716
REV6235,2026-01-30,Pune,139,15985,11092,4893
REV6236,2026-01-31,Hyderabad,104,12376,8699,3677
REV6237,2026-01-24,Delhi,140,11900,6957,4943
REV6238,2026-01-16,Hyderabad,162,11340,5985,5355
REV6239,2026-01-21,Mumbai,116,13572,9706,3866
REV6240,2026-01-17,Mumbai,87,6612,3353,3259
REV6241,2026-01-24,Bangalore,136,6936,3779,3157
REV6242,2026-01-21,Hyderabad,27,2214,1325,889
REV6243,2026-01-04,Coimbatore,76,4560,3204,1356
REV6244,2026-01-28,Namakkal,174,15312,10811,4501
REV6245,2026-01-22,Bangalore,87,6786,4086,2700
REV6246,2026-01-05,Chennai,84,5208,3244,1964
REV6247,2026-01-26,Namakkal,194,22310,11281,11029
REV6248,2026-01-19,Namakkal,172,9288,5925,3363
REV6249,2026-01-29,Hyderabad,150,12600,9924,2676
REV6250,2026-01-28,Hyderabad,76,4864,3565,1299
REV6251,2026-01-23,Chennai,156,10608,8473,2135
REV6252,2026-01-07,Coimbatore,88,6600,4092,2508
REV6253,2026-01-13,Chennai,134,9112,7020,2092
REV6254,2026-01-25,Coimbatore,25,2350,1525,825
REV6255,2026-01-05,Pune,86,4214,3272,942
REV6256,2026-01-10,Chennai,82,3444,2172,1272
REV6257,2026-01-22,Delhi,181,19729,11217,8512
REV6258,2026-01-25,Delhi,123,8979,5286,3693
REV6259,2026-01-20,Delhi,109,8938,7121,1817
REV6260,2026-01-08,Namakkal,157,12089,8565,3524
REV6261,2026-01-29,Delhi,49,5390,3352,2038
REV6262,2026-01-01,Coimbatore,143,10010,7233,2777
REV6263,2026-01-11,Pune,120,12000,7311,4689
REV6264,2026-01-20,Hyderabad,32,2336,1833,503
REV6265,2026-01-02,Bangalore,55,3190,2088,1102
REV6266,2026-01-30,Delhi,111,6771,4118,2653
REV6267,2026-01-06,Pune,190,15960,10808,5152
REV6268,2026-01-27,Namakkal,150,17850,12687,5163
REV6269,2026-01-04,Namakkal,39,4095,2736,1359
REV6270,2026-01-14,Pune,62,2852,1880,972
REV6271,2026-01-29,Bangalore,42,4998,2720,2278
REV6272,2026-01-20,Chennai,186,19158,14012,5146
REV6273,2026-01-12,Namakkal,80,4640,3328,1312
REV6274,2026-01-02,Chennai,97,8439,6433,2006
REV6275,2026-01-13,Coimbatore,94,4512,2350,2162
REV6276,2026-01-17,Delhi,49,3479,2084,1395
REV6277,2026-01-02,Coimbatore,179,7160,5068,2092
REV6278,2026-01-09,Mumbai,118,5664,3404,2260
REV6279,2026-01-28,Pune,193,8878,4711,4167
REV6280,2026-01-04,Namakkal,61,5063,4022,1041
REV6281,2026-01-09,Chennai,149,6854,4060,2794
REV6282,2026-01-23,Chennai,23,1679,969,710
REV6283,2026-01-02,Chennai,183,12627,8914,3713
REV6284,2026-01-11,Hyderabad,168,16128,9497,6631
REV6285,2026-01-31,Delhi,35,2800,1518,1282
REV6286,2026-01-06,Delhi,42,2100,1557,543
REV6287,2026-01-21,Delhi,66,5874,3916,1958
REV6288,2026-01-25,Coimbatore,142,8378,6533,1845
REV6289,2026-01-05,Chennai,189,20790,15560,5230
REV6290,2026-01-29,Namakkal,188,10340,5201,5139
REV6291,2026-01-15,Bangalore,165,13860,10279,3581
REV6292,2026-01-08,Hyderabad,149,13410,10551,2859
REV6293,2026-01-23,Pune,185,16095,10224,5871
REV6294,2026-01-07,Mumbai,158,12482,6870,5612
REV6295,2026-01-04,Namakkal,40,2080,1422,658
REV6296,2026-01-23,Mumbai,85,6375,3618,2757
REV6297,2026-01-20,Namakkal,70,6650,4337,2313
REV6298,2026-01-07,Bangalore,144,7632,5110,2522
REV6299,2026-01-17,Bangalore,196,14112,10990,3122
