Report_ID,Date,City,Total_Revenue,Total_Cost,Profit,Loss
FIN7235,2026-01-23,Chennai,47174,37464,9710,0
FIN7236,2026-01-26,Chennai,16568,13241,3327,0
FIN7237,2026-01-28,Delhi,7646,4676,2970,0
FIN7238,2026-01-13,Coimbatore,25541,18197,7344,0
FIN7239,2026-01-15,Namakkal,14555,8620,5935,0
FIN7240,2026-01-31,Delhi,5682,3122,2560,0
FIN7241,2026-01-25,Pune,6838,8225,0,1387
FIN7242,2026-01-24,Mumbai,48393,35103,13290,0
FIN7243,2026-01-01,Namakkal,14425,9531,4894,0
FIN7244,2026-01-25,Coimbatore,42074,22719,19355,0
FIN7245,2026-01-14,Hyderabad,19913,14751,5162,0
FIN7246,2026-01-22,Hyderabad,14674,7750,6924,0
FIN7247,2026-01-11,Mumbai,14049,7180,6869,0
FIN7248,2026-01-09,Hyderabad,37439,27224,10215,0
FIN7249,2026-01-17,Mumbai,14921,8337,6584,0
FIN7250,2026-01-01,Pune,24586,15040,9546,0
FIN7251,2026-01-13,Mumbai,18555,15702,2853,0
FIN7252,2026-01-05,Namakkal,39337,32339,6998,0
FIN7253,2026-01-24,Namakkal,47297,25094,22203,0
FIN7254,2026-01-05,Delhi,27806,20803,7003,0
FIN7255,2026-01-01,Chennai,17940,14704,3236,0
FIN7256,2026-01-03,Bangalore,12209,9835,2374,0
FIN7257,2026-01-22,Chennai,8086,5405,2681,0
FIN7258,2026-01-07,Hyderabad,16475,10335,6140,0
FIN7259,2026-01-07,Namakkal,31425,22032,9393,0
FIN7260,2026-01-08,Delhi,27285,21207,6078,0
FIN7261,2026-01-28,Coimbatore,20905,13219,7686,0
FIN7262,2026-01-24,Chennai,35042,21148,13894,0
FIN7263,2026-01-08,Coimbatore,36244,18944,17300,0
FIN7264,2026-01-21,Chennai,21884,23799,0,1915
FIN7265,2026-01-11,Pune,41570,31935,9635,0
FIN7266,2026-01-13,Chennai,21439,13606,7833,0
FIN7267,2026-01-29,Hyderabad,26729,28404,0,1675
FIN7268,2026-01-28,Mumbai,25540,15760,9780,0
FIN7269,2026-01-31,Bangalore,11209,8664,2545,0
FIN7270,2026-01-19,Namakkal,10717,7044,3673,0
FIN7271,2026-01-25,Bangalore,45577,34402,11175,0
FIN7272,2026-01-31,Coimbatore,8252,4244,4008,0
FIN7273,2026-01-31,Mumbai,21115,17145,3970,0
FIN7274,2026-01-27,Bangalore,5759,4842,917,0
FIN7275,2026-01-11,Coimbatore,12063,9636,2427,0
FIN7276,2026-01-14,Delhi,19264,14370,4894,0
FIN7277,2026-01-09,Pune,32279,24120,8159,0
FIN7278,2026-01-02,Delhi,24111,12424,11687,0
FIN7279,2026-01-06,Pune,25765,14489,11276,0
FIN7280,2026-01-23,Coimbatore,41092,23363,17729,0
FIN7281,2026-01-14,Coimbatore,49949,32177,17772,0
FIN7282,2026-01-11,Chennai,25750,30092,0,4342
FIN7283,2026-01-20,Pune,14988,7742,7246,0
FIN7284,2026-01-05,Chennai,45397,33698,11699,0
FIN7285,2026-01-25,Chennai,39381,31633,7748,0
FIN7286,2026-01-08,Mumbai,12882,6802,6080,0
FIN7287,2026-01-13,Coimbatore,31514,25084,6430,0
FIN7288,2026-01-10,Pune,32555,20998,11557,0
FIN7289,2026-01-01,Hyderabad,26102,17285,8817,0
FIN7290,2026-01-23,Chennai,38172,24430,13742,0
FIN7291,2026-01-26,Coimbatore,18137,14431,3706,0
FIN7292,2026-01-28,Coimbatore,49261,38199,11062,0
FIN7293,2026-01-18,Bangalore,5443,6933,0,1490
FIN7294,2026-01-07,Mumbai,47029,54498,0,7469
FIN7295,2026-01-02,Chennai,10067,8147,1920,0
FIN7296,2026-01-04,Bangalore,21503,17258,4245,0
FIN7297,2026-01-17,Chennai,6780,4554,2226,0
FIN7298,2026-01-13,Namakkal,13282,9772,3510,0
FIN7299,2026-01-14,Bangalore,22914,24398,0,1484
